"CIDADE";"ESTADO";"CAPITAL";"IDHM";"IDHM_Renda";"IDHM_Longevidade";"IDHM_Educacao";"POPULACAO_ESTIMADA";"PIB";"regiao"
"Gameleiras";"MG";0;0.65;0.559;0.796;0.618;5122;40789;"Norte"
"Gandu";"BA";0;0.632;0.645;0.771;0.508;32202;318970;"Nordeste"
"Garanhuns";"PE";0;0.664;0.662;0.795;0.556;138983;2094788;"Nordeste"
"Gararu";"SE";0;0.564;0.544;0.783;0.422;11606;100491;"Nordeste"
"Garibaldi";"RS";0;0.786;0.825;0.856;0.688;34684;1756432;"Sul"
"Garopaba";"SC";0;0.753;0.737;0.868;0.668;22568;478040;"Sul"
"Garrafao Do Norte";"PA";0;0.526;0.54;0.763;0.353;26020;220601;"Norte"
"Garruchos";"RS";0;0.671;0.657;0.833;0.553;2963;116894;"Sul"
"Garuva";"SC";0;0.725;0.717;0.83;0.64;17800;662680;"Sul"
"Garca";"SP";0;0.769;0.737;0.849;0.728;44370;1091079;"Norte"
"Gaspar";"SC";0;0.765;0.77;0.889;0.655;68465;2441999;"Sul"
"Gastao Vidigal";"SP";0;0.723;0.727;0.817;0.635;4754;59542;"Norte"
"Gaurama";"RS";0;0.738;0.733;0.852;0.643;5580;196978;"Sul"
"Gaviao";"BA";0;0.599;0.566;0.747;0.508;4487;37750;"Nordeste"
"Gaviao Peixoto";"SP";0;0.719;0.687;0.802;0.676;4762;860154;"Norte"
"Gaucha Do Norte";"MT";0;0.615;0.658;0.847;0.418;7513;357294;"Centro-Oeste"
"Geminiano";"PI";0;0.561;0.524;0.755;0.446;5424;47409;"Nordeste"
"General Carneiro";"PR";0;0.652;0.638;0.816;0.532;13735;297633;"Sul"
"General Carneiro";"MT";0;0.67;0.645;0.82;0.569;5487;244348;"Centro-Oeste"
"General Camara";"RS";0;0.686;0.704;0.832;0.552;8409;146974;"Sul"
"General Maynard";"SE";0;0.645;0.609;0.776;0.567;3307;31465;"Nordeste"
"General Salgado";"SP";0;0.747;0.734;0.808;0.702;10876;528457;"Norte"
"General Sampaio";"CE";0;0.568;0.548;0.744;0.449;6956;44294;"Nordeste"
"Gentil";"RS";0;0.733;0.71;0.863;0.643;1642;113815;"Sul"
"Gentio Do Ouro";"BA";0;0.559;0.523;0.743;0.45;11206;197590;"Nordeste"
"Getulina";"SP";0;0.717;0.696;0.813;0.652;11370;170097;"Norte"
