epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202205,2022-01-30,620,RS,São João da Urtiga,4318424,city,959,20663.65008,0,6,0,0.0063,4641,True,False
202205,2022-01-30,578,RS,São João do Polêsine,4318432,city,436,17145.10421,1,6,0,0.0138,2543,True,False
202205,2022-01-30,666,RS,São Jorge,4318440,city,421,14950.28409,0,11,0,0.0261,2816,True,False
202205,2022-01-30,641,RS,São José das Missões,4318457,city,341,13564.04137,0,3,0,0.0088,2514,True,False
202205,2022-01-30,626,RS,São José do Herval,4318465,city,235,12094.69892,0,3,0,0.0128,1943,True,False
202205,2022-01-30,607,RS,São José do Hortêncio,4318481,city,873,17944.50154,4,11,0,0.0126,4865,True,False
202205,2022-01-30,538,RS,São José do Inhacorá,4318499,city,549,26702.33463,0,2,0,0.0036,2056,True,False
202205,2022-01-30,613,RS,São José do Norte,4318507,city,1970,7106.52574,0,49,0,0.0249,27721,True,False
202205,2022-01-30,615,RS,São José do Ouro,4318606,city,1122,16209.1881,0,18,0,0.016,6922,True,False
202205,2022-01-30,573,RS,São José dos Ausentes,4318622,city,704,19870.16653,0,13,0,0.0185,3543,True,False
202205,2022-01-30,588,RS,São José do Sul,4318614,city,436,17890.84941,0,6,0,0.0138,2437,True,False
202205,2022-01-30,681,RS,São Leopoldo,4318705,city,32914,13791.86082,94,807,0,0.0245,238648,True,False
202205,2022-01-30,665,RS,São Lourenço do Sul,4318804,city,5078,11662.83877,29,88,0,0.0173,43540,True,False
202205,2022-01-30,637,RS,São Luiz Gonzaga,4318903,city,6172,18538.4315,60,112,0,0.0181,33293,True,False
202205,2022-01-30,637,RS,São Marcos,4319000,city,4830,22301.22818,15,66,0,0.0137,21658,True,False
202205,2022-01-30,614,RS,São Martinho,4319109,city,951,17676.57993,0,12,0,0.0126,5380,True,False
202205,2022-01-30,608,RS,São Martinho da Serra,4319125,city,148,4580.62519,1,6,0,0.0405,3231,True,False
202205,2022-01-30,584,RS,São Miguel das Missões,4319158,city,1106,14395.41846,0,16,0,0.0145,7683,True,False
202205,2022-01-30,565,RS,São Nicolau,4319208,city,118,2265.74501,0,13,0,0.1102,5208,True,False
202205,2022-01-30,599,RS,São Paulo das Missões,4319307,city,777,13583.91608,5,10,1,0.0129,5720,True,False
202205,2022-01-30,611,RS,São Pedro da Serra,4319356,city,496,12909.94274,1,2,0,0.004,3842,True,False
202205,2022-01-30,581,RS,São Pedro das Missões,4319364,city,397,19682.69707,1,10,0,0.0252,2017,True,False
202205,2022-01-30,579,RS,São Pedro do Butiá,4319372,city,478,16208.88437,4,6,0,0.0126,2949,True,False
202205,2022-01-30,606,RS,São Pedro do Sul,4319406,city,1943,12032.44984,11,37,0,0.019,16148,True,False
202205,2022-01-30,670,RS,São Sebastião do Caí,4319505,city,4559,17562.3098,7,61,0,0.0134,25959,True,False
202205,2022-01-30,614,RS,São Sepé,4319604,city,2784,11819.14668,24,62,0,0.0223,23555,True,False
202205,2022-01-30,620,RS,São Valentim,4319703,city,348,10678.12212,0,4,0,0.0115,3259,True,False
202205,2022-01-30,631,RS,São Valentim do Sul,4319711,city,408,18173.71938,0,4,0,0.0098,2245,True,False
202205,2022-01-30,633,RS,São Valério do Sul,4319737,city,221,8098.20447,2,4,0,0.0181,2729,True,False
202205,2022-01-30,626,RS,São Vendelino,4319752,city,525,23168.57899,1,6,0,0.0114,2266,True,False
202205,2022-01-30,611,RS,São Vicente do Sul,4319802,city,826,9459.45946,9,20,0,0.0242,8732,True,False
202205,2022-01-30,684,RS,Sapiranga,4319901,city,15633,19532.21635,61,345,0,0.0221,80037,True,False
202205,2022-01-30,669,RS,Sapucaia do Sul,4320008,city,18695,13183.31829,46,561,0,0.03,141808,True,False
202205,2022-01-30,661,RS,Sarandi,4320107,city,5184,20934.45867,7,70,0,0.0135,24763,True,False
202205,2022-01-30,621,RS,Seberi,4320206,city,2791,26052.45963,7,42,0,0.015,10713,True,False
202205,2022-01-30,544,RS,Sede Nova,4320230,city,289,9996.54099,0,7,0,0.0242,2891,True,False
202205,2022-01-30,574,RS,Segredo,4320263,city,816,10961.84847,0,7,0,0.0086,7444,True,False
202205,2022-01-30,613,RS,Selbach,4320305,city,937,18347.36636,1,26,0,0.0277,5107,True,False
202205,2022-01-30,551,RS,Senador Salgado Filho,4320321,city,492,17761.73285,0,3,0,0.0061,2770,True,False
