date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-12-21,SC,Alfredo Wagner,city,1104,8,True,10086,4200705,10945.86556,0.0072
2021-12-21,SC,Alto Bela Vista,city,199,3,True,1926,4200754,10332.29491,0.0151
2021-12-21,SC,Anchieta,city,716,11,True,5557,4200804,12884.64999,0.0154
2021-12-21,SC,Angelina,city,580,4,True,4743,4200903,12228.54733,0.0069
2021-12-21,SC,Anita Garibaldi,city,1230,10,True,6957,4201000,17680.0345,0.0081
2021-12-21,SC,Anitápolis,city,393,5,True,3228,4201109,12174.72119,0.0127
2021-12-21,SC,Antônio Carlos,city,1707,27,True,8613,4201208,19818.87844,0.0158
2021-12-21,SC,Apiúna,city,928,18,True,10848,4201257,8554.57227,0.0194
2021-12-21,SC,Arabutã,city,424,10,True,4267,4201273,9936.72369,0.0236
2021-12-21,SC,Araquari,city,4558,89,True,39524,4201307,11532.23358,0.0195
2021-12-21,SC,Araranguá,city,11475,260,True,68867,4201406,16662.55246,0.0227
2021-12-21,SC,Armazém,city,1471,35,True,8759,4201505,16794.15458,0.0238
2021-12-21,SC,Arroio Trinta,city,636,14,True,3549,4201604,17920.541,0.022
2021-12-21,SC,Arvoredo,city,359,5,True,2234,4201653,16069.8299,0.0139
2021-12-21,SC,Ascurra,city,1391,13,True,7978,4201703,17435.44748,0.0093
2021-12-21,SC,Atalanta,city,513,11,True,3195,4201802,16056.33803,0.0214
2021-12-21,SC,Aurora,city,935,19,True,5683,4201901,16452.57786,0.0203
2021-12-21,SC,Balneário Arroio do Silva,city,2238,60,True,13430,4201950,16664.18466,0.0268
2021-12-21,SC,Balneário Barra do Sul,city,1622,47,True,11035,4202057,14698.686,0.029
2021-12-21,SC,Balneário Camboriú,city,28696,440,True,145796,4202008,19682.29581,0.0153
2021-12-21,SC,Balneário Gaivota,city,1451,39,True,11260,4202073,12886.32327,0.0269
2021-12-21,SC,Balneário Piçarras,city,5636,67,True,23772,4212809,23708.5647,0.0119
2021-12-21,SC,Balneário Rincão,city,1570,53,True,12946,4220000,12127.29801,0.0338
2021-12-21,SC,Bandeirante,city,449,6,True,2648,4202081,16956.19335,0.0134
2021-12-21,SC,Barra Bonita,city,250,2,True,1651,4202099,15142.33798,0.008
2021-12-21,SC,Barra Velha,city,5120,136,True,29860,4202107,17146.68453,0.0266
2021-12-21,SC,Bela Vista do Toldo,city,92,5,True,6362,4202131,1446.08614,0.0543
2021-12-21,SC,Belmonte,city,359,5,True,2709,4202156,13252.12255,0.0139
2021-12-21,SC,Benedito Novo,city,1101,20,True,11775,4202206,9350.31847,0.0182
2021-12-21,SC,Biguaçu,city,12072,173,True,69486,4202305,17373.28383,0.0143
2021-12-21,SC,Blumenau,city,65699,693,True,361855,4202404,18156.16753,0.0105
2021-12-21,SC,Bocaina do Sul,city,409,4,True,3488,4202438,11725.91743,0.0098
2021-12-21,SC,Bombinhas,city,3816,70,True,20335,4202453,18765.67494,0.0183
2021-12-21,SC,Bom Jardim da Serra,city,730,8,True,4772,4202503,15297.56915,0.011
2021-12-21,SC,Bom Jesus,city,539,10,True,3057,4202537,17631.66503,0.0186
2021-12-21,SC,Bom Jesus do Oeste,city,185,6,True,2139,4202578,8648.90136,0.0324
2021-12-21,SC,Bom Retiro,city,916,21,True,10060,4202602,9105.36779,0.0229
2021-12-21,SC,Botuverá,city,1027,10,True,5322,4202701,19297.25667,0.0097
2021-12-21,SC,Braço do Norte,city,9145,114,True,33876,4202800,26995.51305,0.0125
2021-12-21,SC,Braço do Trombudo,city,768,7,True,3769,4202859,20376.75776,0.0091
2021-12-21,SC,Brunópolis,city,336,9,True,2368,4202875,14189.18919,0.0268
2021-12-21,SC,Brusque,city,31341,327,True,137689,4202909,22762.16691,0.0104
2021-12-21,SC,Caçador,city,7231,293,True,79313,4203006,9117.0426,0.0405
2021-12-21,SC,Caibi,city,724,16,True,6130,4203105,11810.76672,0.0221
2021-12-21,SC,Calmon,city,50,7,True,3335,4203154,1499.25037,0.14
2021-12-21,SC,Camboriú,city,15077,188,True,85105,4203204,17715.76288,0.0125
2021-12-21,SC,Campo Alegre,city,1436,44,True,11981,4203303,11985.64394,0.0306
2021-12-21,SC,Campo Belo do Sul,city,796,23,True,6952,4203402,11449.94246,0.0289
2021-12-21,SC,Campo Erê,city,1512,23,True,8418,4203501,17961.51105,0.0152
2021-12-21,SC,Campos Novos,city,6089,122,True,36556,4203600,16656.63639,0.02
2021-12-21,SC,Canelinha,city,1563,21,True,12398,4203709,12606.87208,0.0134
2021-12-21,SC,Canoinhas,city,7421,122,True,54480,4203808,13621.51248,0.0164
2021-12-21,SC,Capão Alto,city,192,2,True,2496,4203253,7692.30769,0.0104
2021-12-21,SC,Capinzal,city,5308,55,True,23035,4203907,23043.19514,0.0104
2021-12-21,SC,Capivari de Baixo,city,4747,85,True,25177,4203956,18854.51007,0.0179
2021-12-21,SC,Catanduvas,city,2079,33,True,10984,4204004,18927.53095,0.0159
2021-12-21,SC,Caxambu do Sul,city,644,13,True,3551,4204103,18135.73641,0.0202
2021-12-21,SC,Celso Ramos,city,458,6,True,2719,4204152,16844.4281,0.0131
2021-12-21,SC,Cerro Negro,city,209,4,True,3068,4204178,6812.25554,0.0191
2021-12-21,SC,Chapadão do Lageado,city,420,6,True,3006,4204194,13972.05589,0.0143
2021-12-21,SC,Chapecó,city,43303,796,True,224013,4204202,19330.57456,0.0184
2021-12-21,SC,Cocal do Sul,city,3791,63,True,16821,4204251,22537.30456,0.0166
2021-12-21,SC,Concórdia,city,18609,229,True,75167,4204301,24756.87469,0.0123
2021-12-21,SC,Cordilheira Alta,city,626,8,True,4520,4204350,13849.55752,0.0128
2021-12-21,SC,Coronel Freitas,city,1817,31,True,9940,4204400,18279.67807,0.0171
2021-12-21,SC,Coronel Martins,city,238,3,True,2555,4204459,9315.06849,0.0126
2021-12-21,SC,Correia Pinto,city,2149,60,True,12553,4204558,17119.41369,0.0279
2021-12-21,SC,Corupá,city,2049,42,True,16107,4204509,12721.17713,0.0205
2021-12-21,SC,Criciúma,city,39582,663,True,217311,4204608,18214.44842,0.0168
2021-12-21,SC,Cunha Porã,city,1305,26,True,11118,4204707,11737.72261,0.0199
2021-12-21,SC,Cunhataí,city,199,2,True,1967,4204756,10116.92933,0.0101
2021-12-21,SC,Curitibanos,city,5764,199,True,39893,4204806,14448.65014,0.0345
2021-12-21,SC,Descanso,city,1135,19,True,8192,4204905,13854.98047,0.0167
2021-12-21,SC,Dionísio Cerqueira,city,2118,51,True,15545,4205001,13624.95979,0.0241
2021-12-21,SC,Dona Emma,city,521,5,True,4186,4205100,12446.2494,0.0096
2021-12-21,SC,Doutor Pedrinho,city,489,6,True,4115,4205159,11883.35358,0.0123
2021-12-21,SC,Entre Rios,city,724,10,True,3218,4205175,22498.44624,0.0138
2021-12-21,SC,Ermo,city,392,6,True,2061,4205191,19019.89326,0.0153
2021-12-21,SC,Erval Velho,city,898,13,True,4418,4205209,20325.93934,0.0145
2021-12-21,SC,Faxinal dos Guedes,city,2131,41,True,10649,4205308,20011.26866,0.0192
2021-12-21,SC,Flor do Sertão,city,200,0,True,1579,4205357,12666.24446,0.0
2021-12-21,SC,Florianópolis,city,85114,1124,True,508826,4205407,16727.52572,0.0132
2021-12-21,SC,Formosa do Sul,city,438,8,True,2495,4205431,17555.11022,0.0183
2021-12-21,SC,Forquilhinha,city,6718,63,True,27211,4205456,24688.54507,0.0094
2021-12-21,SC,Fraiburgo,city,5061,121,True,36584,4205506,13833.91647,0.0239
2021-12-21,SC,Frei Rogério,city,372,11,True,1970,4205555,18883.24873,0.0296
2021-12-21,SC,Galvão,city,490,12,True,2791,4205605,17556.43139,0.0245
2021-12-21,SC,Garopaba,city,3602,47,True,23579,4205704,15276.30519,0.013
2021-12-21,SC,Garuva,city,2393,33,True,18484,4205803,12946.33196,0.0138
2021-12-21,SC,Gaspar,city,9598,195,True,70793,4205902,13557.83764,0.0203
