city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Cascavel,2303501.0,2020-08-18,34,71743.0,False,True,1398,1948.6221699999999,2020-08-17,0.0594,83,134,city,CE,0,0
Apodi,2401008.0,2020-08-18,34,35845.0,False,True,1393,3886.17659,2020-08-10,0.0151,21,142,city,RN,0,0
Marília,3529005.0,2020-08-18,34,238882.0,False,True,1382,578.5283099999999,2020-08-17,0.0174,24,138,city,SP,0,0
Pouso Alegre,3152501.0,2020-08-18,34,150737.0,False,True,1380,915.50183,2020-08-17,0.0145,20,140,city,MG,0,0
Jaru,1100114.0,2020-08-18,34,51775.0,False,True,1378,2661.51618,2020-08-17,0.0152,21,142,city,RO,0,0
Tatuí,3554003.0,2020-08-18,34,121766.0,False,True,1365,1121.00258,2020-08-17,0.0315,43,146,city,SP,0,0
Santa Luzia,3157807.0,2020-08-18,34,219134.0,False,True,1363,621.99385,2020-08-17,0.0367,50,143,city,MG,0,0
Jaú,3525300.0,2020-08-18,34,150252.0,False,True,1355,901.8182800000001,2020-08-17,0.0288,39,139,city,SP,0,0
Bertioga,3506359.0,2020-08-18,34,63249.0,False,True,1348,2131.25899,2020-08-17,0.0252,34,106,city,SP,0,0
Colinas,2103505.0,2020-08-18,34,41178.0,False,True,1347,3271.1642100000004,2020-08-17,0.0193,26,133,city,MA,0,0
Conceição do Coité,2908408.0,2020-08-18,34,66612.0,False,True,1345,2019.1557100000002,2020-08-17,0.0052,7,133,city,BA,0,0
Braço do Norte,4202800.0,2020-08-18,34,33450.0,False,True,1336,3994.0209299999997,2020-08-17,0.009000000000000001,12,157,city,SC,0,0
Acarape,2300150.0,2020-08-18,34,14929.0,False,True,1334,8935.62864,2020-08-17,0.0105,14,123,city,CE,0,0
Benevides,1501501.0,2020-08-18,34,62737.0,False,True,1326,2113.5852800000002,2020-08-17,0.037000000000000005,49,138,city,PA,0,0
Valença,2932903.0,2020-08-18,34,96562.0,False,True,1326,1373.21099,2020-08-17,0.0332,44,124,city,BA,0,0
Coruripe,2702306.0,2020-08-18,34,56933.0,False,True,1322,2322.02765,2020-08-17,0.0197,26,112,city,AL,0,0
Urbano Santos,2112605.0,2020-08-18,34,33122.0,False,True,1321,3988.2857299999996,2020-08-17,0.0106,14,133,city,MA,0,0
Tobias Barreto,2807402.0,2020-08-18,34,52191.0,False,True,1319,2527.2556600000003,2020-08-17,0.0243,32,111,city,SE,0,0
Xanxerê,4219507.0,2020-08-18,34,50982.0,False,True,1316,2581.30321,2020-08-17,0.0167,22,105,city,SC,0,0
Mazagão,1600402.0,2020-08-18,34,21632.0,False,True,1309,6051.22041,2020-08-17,0.0053,7,127,city,AP,0,0
Vinhedo,3556701.0,2020-08-18,34,78728.0,False,True,1308,1661.41652,2020-08-17,0.0176,23,141,city,SP,0,0
Caicó,2402006.0,2020-08-18,34,67952.0,False,True,1303,1917.53002,2020-08-10,0.0138,18,144,city,RN,0,0
Araranguá,4201406.0,2020-08-18,34,68228.0,False,True,1298,1902.44474,2020-08-17,0.0216,28,138,city,SC,0,0
Jacareacanga,1503754.0,2020-08-18,34,8239.0,False,True,1296,15730.064330000001,2020-08-17,0.0108,14,103,city,PA,0,0
