Açude,Data do registro,Volume (%),Volume (m³),Afluência/Defluência (m²),data
Epitácio Pessoa,11/06/1967,99.3,531.818.276,-183.892,1967-06-11
Epitácio Pessoa,12/06/1967,99.2,531.634.385,-183.891,1967-06-12
Epitácio Pessoa,13/06/1967,99.2,531.634.385,0,1967-06-13
Epitácio Pessoa,14/06/1967,99.2,531.450.493,-183.892,1967-06-14
Epitácio Pessoa,15/06/1967,99.2,531.266.601,-183.892,1967-06-15
Epitácio Pessoa,16/06/1967,99.2,531.266.601,0,1967-06-16
Epitácio Pessoa,17/06/1967,99.2,531.266.601,0,1967-06-17
Epitácio Pessoa,18/06/1967,99.2,531.266.601,0,1967-06-18
Epitácio Pessoa,19/06/1967,99.1,531.082.710,-183.891,1967-06-19
Epitácio Pessoa,20/06/1967,99.1,531.082.710,0,1967-06-20
Epitácio Pessoa,21/06/1967,99.1,531.082.710,0,1967-06-21
Epitácio Pessoa,22/06/1967,99.1,531.082.710,0,1967-06-22
Epitácio Pessoa,23/06/1967,99.1,531.082.710,0,1967-06-23
Epitácio Pessoa,24/06/1967,99.1,530.898.818,-183.892,1967-06-24
Epitácio Pessoa,25/06/1967,99.1,530.898.818,0,1967-06-25
Epitácio Pessoa,26/06/1967,99.1,531.082.710,183.892,1967-06-26
Epitácio Pessoa,27/06/1967,99.1,530.898.818,-183.892,1967-06-27
Epitácio Pessoa,28/06/1967,99.1,531.082.710,183.892,1967-06-28
Epitácio Pessoa,29/06/1967,99.1,531.082.710,0,1967-06-29
Epitácio Pessoa,30/06/1967,99.1,531.082.710,0,1967-06-30
Epitácio Pessoa,01/07/1967,99.1,531.082.710,0,1967-07-01
Epitácio Pessoa,02/07/1967,99.1,531.082.710,0,1967-07-02
Epitácio Pessoa,03/07/1967,99.2,531.266.601,183.891,1967-07-03
Epitácio Pessoa,04/07/1967,99.2,531.450.493,183.892,1967-07-04
Epitácio Pessoa,05/07/1967,99.2,531.266.601,-183.892,1967-07-05
Epitácio Pessoa,06/07/1967,99.2,531.266.601,0,1967-07-06
Epitácio Pessoa,07/07/1967,99.2,531.266.601,0,1967-07-07
Epitácio Pessoa,08/07/1967,99.2,531.450.493,183.892,1967-07-08
Epitácio Pessoa,09/07/1967,99.2,531.450.493,0,1967-07-09
Epitácio Pessoa,10/07/1967,99.2,531.450.493,0,1967-07-10
Epitácio Pessoa,11/07/1967,99.2,531.266.601,-183.892,1967-07-11
Epitácio Pessoa,12/07/1967,99.2,531.634.385,367.784,1967-07-12
Epitácio Pessoa,13/07/1967,99.2,531.450.493,-183.892,1967-07-13
Epitácio Pessoa,14/07/1967,99.2,531.266.601,-183.892,1967-07-14
Epitácio Pessoa,15/07/1967,99.1,531.082.710,-183.891,1967-07-15
Epitácio Pessoa,16/07/1967,99.1,530.898.818,-183.892,1967-07-16
Epitácio Pessoa,17/07/1967,99.1,530.714.927,-183.891,1967-07-17
Epitácio Pessoa,18/07/1967,99.1,530.714.927,0,1967-07-18
Epitácio Pessoa,19/07/1967,99.0,530.531.035,-183.892,1967-07-19
Epitácio Pessoa,20/07/1967,99.0,530.347.143,-183.892,1967-07-20
Epitácio Pessoa,21/07/1967,99.0,530.163.252,-183.891,1967-07-21
Epitácio Pessoa,22/07/1967,98.9,529.979.360,-183.892,1967-07-22
Epitácio Pessoa,23/07/1967,98.9,529.795.469,-183.891,1967-07-23
Epitácio Pessoa,24/07/1967,98.9,529.611.577,-183.892,1967-07-24
Epitácio Pessoa,25/07/1967,98.8,529.427.685,-183.892,1967-07-25
Epitácio Pessoa,26/07/1967,98.8,529.427.685,0,1967-07-26
Epitácio Pessoa,27/07/1967,98.8,529.243.794,-183.891,1967-07-27
Epitácio Pessoa,28/07/1967,98.8,529.427.685,183.891,1967-07-28
Epitácio Pessoa,29/07/1967,98.8,529.243.794,-183.891,1967-07-29
Epitácio Pessoa,30/07/1967,98.8,529.243.794,0,1967-07-30
Epitácio Pessoa,31/07/1967,98.8,529.059.902,-183.892,1967-07-31
Epitácio Pessoa,01/08/1967,98.8,529.243.794,183.892,1967-08-01
Epitácio Pessoa,02/08/1967,98.8,529.059.902,-183.892,1967-08-02
Epitácio Pessoa,03/08/1967,98.7,528.876.011,-183.891,1967-08-03
Epitácio Pessoa,04/08/1967,98.7,528.692.119,-183.892,1967-08-04
Epitácio Pessoa,05/08/1967,98.7,528.508.227,-183.892,1967-08-05
Epitácio Pessoa,06/08/1967,98.7,528.508.227,0,1967-08-06
Epitácio Pessoa,07/08/1967,98.7,528.508.227,0,1967-08-07
Epitácio Pessoa,08/08/1967,98.6,528.324.336,-183.891,1967-08-08
Epitácio Pessoa,09/08/1967,98.6,528.140.444,-183.892,1967-08-09
Epitácio Pessoa,10/08/1967,98.6,527.956.553,-183.891,1967-08-10
Epitácio Pessoa,11/08/1967,98.5,527.772.661,-183.892,1967-08-11
Epitácio Pessoa,12/08/1967,98.5,527.588.769,-183.892,1967-08-12
Epitácio Pessoa,13/08/1967,98.5,527.404.878,-183.891,1967-08-13
Epitácio Pessoa,14/08/1967,98.4,527.220.986,-183.892,1967-08-14
Epitácio Pessoa,15/08/1967,98.4,527.037.095,-183.891,1967-08-15
Epitácio Pessoa,16/08/1967,98.4,527.037.095,0,1967-08-16
Epitácio Pessoa,17/08/1967,98.4,526.853.203,-183.892,1967-08-17
Epitácio Pessoa,18/08/1967,98.4,526.853.203,0,1967-08-18
Epitácio Pessoa,19/08/1967,98.4,526.853.203,0,1967-08-19
Epitácio Pessoa,20/08/1967,98.3,526.669.311,-183.892,1967-08-20
Epitácio Pessoa,21/08/1967,98.3,526.485.420,-183.891,1967-08-21
Epitácio Pessoa,22/08/1967,98.3,526.485.420,0,1967-08-22
Epitácio Pessoa,23/08/1967,98.2,526.301.528,-183.892,1967-08-23
Epitácio Pessoa,24/08/1967,98.2,526.117.637,-183.891,1967-08-24
Epitácio Pessoa,25/08/1967,98.2,526.117.637,0,1967-08-25
Epitácio Pessoa,26/08/1967,98.2,525.933.745,-183.892,1967-08-26
Epitácio Pessoa,27/08/1967,98.1,525.749.853,-183.892,1967-08-27
Epitácio Pessoa,28/08/1967,98.1,525.565.962,-183.891,1967-08-28
Epitácio Pessoa,29/08/1967,98.1,525.382.070,-183.892,1967-08-29
Epitácio Pessoa,30/08/1967,98.0,525.198.179,-183.891,1967-08-30
Epitácio Pessoa,31/08/1967,98.0,525.014.287,-183.892,1967-08-31
Epitácio Pessoa,01/09/1967,98.0,525.014.287,0,1967-09-01
Epitácio Pessoa,02/09/1967,98.0,524.830.395,-183.892,1967-09-02
Epitácio Pessoa,03/09/1967,97.9,524.646.504,-183.891,1967-09-03
Epitácio Pessoa,04/09/1967,97.9,524.646.504,0,1967-09-04
Epitácio Pessoa,05/09/1967,97.9,524.462.612,-183.892,1967-09-05
Epitácio Pessoa,06/09/1967,97.9,524.278.720,-183.892,1967-09-06
Epitácio Pessoa,07/09/1967,97.9,524.278.720,0,1967-09-07
Epitácio Pessoa,08/09/1967,97.8,524.094.829,-183.891,1967-09-08
Epitácio Pessoa,09/09/1967,97.8,523.910.937,-183.892,1967-09-09
Epitácio Pessoa,10/09/1967,97.8,523.727.046,-183.891,1967-09-10
Epitácio Pessoa,11/09/1967,97.7,523.543.154,-183.892,1967-09-11
Epitácio Pessoa,12/09/1967,97.7,523.359.262,-183.892,1967-09-12
Epitácio Pessoa,13/09/1967,97.7,523.359.262,0,1967-09-13
Epitácio Pessoa,14/09/1967,97.7,523.175.371,-183.891,1967-09-14
Epitácio Pessoa,15/09/1967,97.6,522.991.479,-183.892,1967-09-15
Epitácio Pessoa,16/09/1967,97.6,522.807.588,-183.891,1967-09-16
Epitácio Pessoa,17/09/1967,97.6,522.807.588,0,1967-09-17
